Campagne;Region;Site;Famille;Variete;Num Parcelle;Code Traçabilité;Date;Qté eau (m3)
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;28/03/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;29/03/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;31/03/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;02/04/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;03/04/23;240,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;04/04/23;240,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;05/04/23;240,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;07/04/23;240,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;08/04/23;240,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;09/04/23;240,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;10/04/23;240,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;11/04/23;240,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;12/04/23;240,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;14/04/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;15/04/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;16/04/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;17/04/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;18/04/23;240,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;19/04/23;240,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;20/04/23;240,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;21/04/23;240,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;24/04/23;240,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;25/04/23;240,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;26/04/23;240,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;27/04/23;240,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;28/04/23;240,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;29/04/23;240,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;02/05/23;240,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;03/05/23;240,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;05/05/23;240,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;06/05/23;240,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;07/05/23;240,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;08/05/23;240,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;09/05/23;240,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;10/05/23;240,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;12/05/23;385,5000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;13/05/23;385,5000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;14/05/23;385,2000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;15/05/23;385,2000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;16/05/23;385,2000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;22/05/23;96,3000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;23/05/23;96,3000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;24/05/23;96,3000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;26/05/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;27/05/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;28/05/23;144,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;29/05/23;144,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;31/05/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;02/06/23;385,2000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;03/06/23;385,2000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;04/06/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;05/06/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;06/06/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;07/06/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;09/06/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;10/06/23;120,3000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;13/06/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;14/06/23;288,9000
