Campagne;Region;Site;Famille;Variete;Num Parcelle;CodeTracabilite;Date Plantation;Date Arrachage;Porte Greffe;Sup Debut Camp;Sup Plantee;Sup Arrachee;Sup Fin Camp;;
20/21;HAOUZ;Marrakech;CLA;CLA14;13010;TR11302;30/07/08;;PG6;0,6280;0,0000;0,0000;0,6280;;
20/21;HAOUZ;Marrakech;CLA;CLA14;13021;TR11302;30/06/08;01/03/21;PG6;0,6010;0,0000;0,6010;0,4000;;
20/21;HAOUZ;Marrakech;CLA;CLA14;13031;TR11302;30/06/08;01/03/21;PG6;0,6970;0,0000;0,6970;0,4000;;
20/21;HAOUZ;Marrakech;CLA;CLA14;13041;TR11302;30/06/08;01/03/21;PG6;0,7150;0,0000;0,7150;0,4000;;
20/21;HAOUZ;Marrakech;CLA;CLA14;13051;TR11302;30/06/08;01/03/21;PG6;0,7450;0,0000;0,7450;0,4000;;
20/21;HAOUZ;Marrakech;CLA;CLA14;13061;TR11302;30/06/08;01/03/21;PG6;0,7690;0,0000;0,7690;0,4000;;
20/21;HAOUZ;Marrakech;CLA;CLA14;13070;TR11302;30/06/08;01/03/21;PG6;0,7210;0,0000;0,7210;0,4000;;
20/21;HAOUZ;Marrakech;CLA;CLA14;13080;TR11302;30/06/08;01/03/21;PG6;1,0300;0,0000;1,0300;0,4000;;
20/21;HAOUZ;Marrakech;CLA;CLA14;13090;TR11302;30/06/08;01/03/21;PG6;0,7540;0,0000;0,7540;0,4000;;
20/21;HAOUZ;Marrakech;CLA;CLA14;13100;TR11302;30/06/08;01/03/21;PG6;0,6040;0,0000;0,6040;0,4000;;
20/21;HAOUZ;Marrakech;CLA;CLA14;13110;TR11302;30/06/08;01/03/21;PG6;0,6670;0,0000;0,6670;0,4000;;
20/21;HAOUZ;Marrakech;CLA;CLA14;13120;TR11302;30/06/08;01/03/21;PG6;0,7810;0,0000;0,7810;0,4000;;
20/21;HAOUZ;Marrakech;CLA;CLA14;13130 ;TR11105;30/07/08;;PG4;2,6020;0,0000;0,0000;2,6020;;
20/21;HAOUZ;Marrakech;CLA;CLA14;13170;TR11203;30/06/08;01/03/21;PG2;1,7320;0,0000;1,7320;0,4000;;
20/21;HAOUZ;Marrakech;CLA;CLA15;11050;TR11602;30/06/09;;PG6;0,7435;0,0000;0,0000;0,7435;;
20/21;HAOUZ;Marrakech;CLA;CLA15;11112 ;TR11602;15/06/10;;PG6;1,6060;0,0000;0,0000;1,6060;;
20/21;HAOUZ;Marrakech;CLA;CLA15;12090;TR11501;30/06/09;;PG7;1,0960;0,0000;0,0000;1,0960;;
20/21;HAOUZ;Marrakech;CLA;CLA15;12150;TR11501;30/06/09;;PG7;0,9910;0,0000;0,0000;0,9910;;
20/21;HAOUZ;Marrakech;CLA;CLA15;13150;TR11501;30/06/09;;PG7;1,0210;0,0000;0,0000;1,0210;;
20/21;HAOUZ;Marrakech;CLA;CLA18;11222 ;TR11222;01/07/10;14/03/22;PG8;0,6040;0,0000;0,0000;0,6040;;
20/21;HAOUZ;Marrakech;CLA;CLA18;14031;TR14031;01/07/20;;PG8;0,5200;0,0000;0,0000;0,5200;;
20/21;HAOUZ;Marrakech;CLA;CLA18;14032;TR14032;01/07/20;;PG8;0,7240;0,0000;0,0000;0,7240;;
20/21;HAOUZ;Marrakech;CLA;CLA18;14070;TR14070;01/07/20;;PG8;0,6070;0,0000;0,0000;0,6070;;
20/21;HAOUZ;Marrakech;MAD;MAD2;11221;TR11221;29/04/21;;PG4;0,4000;1,0870;0,0000;1,0870;;
20/21;HAOUZ;Marrakech;MAD;MAD2;11223 ;TR11223;31/03/21;;PG4;0,4000;2,2330;0,0000;2,2330;;
20/21;HAOUZ;Marrakech;MAD;MAD2;12030;TR12030;30/03/21;;PG4;0,4000;1,8460;0,0000;1,8460;;
20/21;HAOUZ;Marrakech;MAD;MAD2;12222 ;TR12222;31/03/21;;PG4;0,4000;1,5220;0,0000;1,5220;;
20/21;HAOUZ;Marrakech;MAD;MAD2;16001;TR16001;03/04/21;;PG4;0,4000;3,7900;0,0000;3,7900;;
20/21;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;30/07/07;;PG2;1,2670;0,0000;0,0000;1,2670;;
20/21;HAOUZ;Marrakech;NOA;NOA1;12050;TR11901;30/07/09;;PG7;2,0080;0,0000;0,0000;2,0080;;
20/21;HAOUZ;Marrakech;NOA;NOA1;12060;TR11803;30/07/07;;PG1;1,7830;0,0000;0,0000;1,7830;;
20/21;HAOUZ;Marrakech;NOA;NOA1;12100;TR12002;30/07/09;21/02/22;PG6;1,2580;0,0000;0,0000;1,2580;;
20/21;HAOUZ;Marrakech;NOA;NOA1;12140;TR11901;30/07/09;;PG7;0,9010;0,0000;0,0000;0,9010;;
20/21;HAOUZ;Marrakech;NOA;NOA1;13997;TR12101;01/10/10;;PG7;3,2290;0,0000;0,0000;3,2290;;
20/21;HAOUZ;Marrakech;NOA;NOA1;13998;TR12101;01/10/10;;PG7;1,0000;0,0000;0,0000;1,0000;;
20/21;HAOUZ;Marrakech;NOA;NOA1;13999;TR12101;01/10/10;;PG7;2,0560;0,0000;0,0000;2,0560;;
20/21;HAOUZ;Marrakech;NOA;NOA1;15030;TR11703;30/06/07;14/05/22;PG2;2,1970;0,0000;0,0000;2,1970;;
20/21;HAOUZ;Marrakech;NOA;NOA1;15040 ;TR11703;01/08/07;14/05/22;PG2;1,4080;0,0000;0,0000;1,4080;;
20/21;HAOUZ;Marrakech;NOA;NOA1;15080 ;TR11703;01/08/07;14/05/22;PG2;1,8760;0,0000;0,0000;1,8760;;
20/21;HAOUZ;Marrakech;NOA;NOA1;15090 ;TR11703;01/08/07;14/05/22;PG2;1,0720;0,0000;0,0000;1,0720;;
20/21;HAOUZ;Marrakech;NOA;NOA1;15100 ;TR11703;01/07/07;14/05/22;PG2;1,6930;0,0000;0,0000;1,6930;;
20/21;HAOUZ;Marrakech;NOA;NOA1;15110;TR11703;01/08/07;14/05/22;PG2;0,7000;0,0000;0,0000;0,7000;;
20/21;HAOUZ;Marrakech;NOA;NOA1;15120 ;TR11703;01/08/07;14/05/22;PG2;1,3960;0,0000;0,0000;1,3960;;
20/21;HAOUZ;Marrakech;NOA;NOA1;19995;TR12101;01/10/10;;PG7;1,7800;0,0000;0,0000;1,7800;;
20/21;HAOUZ;Marrakech;NOA;NOA1;19999 ;TR12101;01/10/10;;PG7;1,0000;0,0000;0,0000;1,0000;;
20/21;HAOUZ;Marrakech;NOA;NOA1;22005;TR12101;01/06/11;;PG7;0,4930;0,0000;0,0000;0,4930;;
20/21;HAOUZ;Marrakech;ORA;ORA2;12070;TR12070;01/01/50;24/02/22;PG5;1,9360;0,0000;0,0000;1,9360;;
20/21;HAOUZ;Marrakech;ORA;ORA2;12130;TR12130;31/05/09;;PG6;2,1610;0,0000;0,0000;2,1610;;
20/21;HAOUZ;Marrakech;ORA;ORA11;14010;TR12204;30/06/50;;PG5;1,4470;0,0000;0,0000;1,4470;;
20/21;HAOUZ;Marrakech;ORA;ORA11;14020;TR12204;30/06/50;;PG5;1,5820;0,0000;0,0000;1,5820;;
20/21;HAOUZ;Marrakech;ORA;ORA11;14040;TR12204;30/06/50;;PG5;1,2760;0,0000;0,0000;1,2760;;
20/21;HAOUZ;Marrakech;ORA;ORA11;14050;TR12204;01/01/89;;PG5;1,0390;0,0000;0,0000;1,0390;;
20/21;HAOUZ;Marrakech;ORA;ORA11;14060;TR12204;30/06/50;;PG5;1,3840;0,0000;0,0000;1,3840;;
20/21;HAOUZ;Marrakech;ORA;ORA11;14081;TR12204;30/06/50;;PG5;1,2580;0,0000;0,0000;1,2580;;
20/21;HAOUZ;Marrakech;ORA;ORA11;14082;TR12204;01/01/50;;PG5;0,7450;0,0000;0,0000;0,7450;;
20/21;HAOUZ;Marrakech;AF;AF1;21090;TR21902;01/05/20;13/04/22;PG6;2,1034;0,0000;0,0000;2,1034;;
20/21;HAOUZ;Marrakech;AF;AF1;21100;TR21902;01/05/20;13/04/22;PG6;2,1094;0,0000;0,0000;2,1094;;
20/21;HAOUZ;Marrakech;AF;AF1;21110;TR21902;01/05/20;04/02/22;PG6;1,3570;0,0000;0,0000;1,3570;;
20/21;HAOUZ;Marrakech;AF;AF1;23080;TR21705;01/06/19;;PG4;0,7360;0,0000;0,0000;0,7360;;
20/21;HAOUZ;Marrakech;AF;AF1;23090;TR21705;01/06/19;;PG4;1,0780;0,0000;0,0000;1,0780;;
